prompt,context,expected_output
"Can you quote me for a single-storey house in Applecross including Tiled Roof Roof Clean, Double Storey Window Clean, Full House Pressure Wash","{'job_type': 'Window Clean, Roof Clean, Pressure Wash', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Double Storey Window Clean', 'price': 180}, {'label': 'Full House Pressure Wash', 'price': 330}], 'total': 910}"
"Can you quote me for a townhouse in Palmyra including Tiled Roof Roof Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Roof Clean', 'location': 'Palmyra', 'building_type': 'townhouse'}","{'items': [{'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 520}"
Can you quote me for a apartment block in Melville including 2 Storey Exterior House Wash,"{'job_type': 'Exterior House Wash', 'location': 'Melville', 'building_type': 'apartment block'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 330}"
"Can you quote me for a apartment block in Bicton including Full House Pressure Wash, Tiled Roof Roof Clean, Driveway Pressure Wash","{'job_type': 'Roof Clean, Pressure Wash', 'location': 'Bicton', 'building_type': 'apartment block'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Tiled Roof Roof Clean', 'price': 400}, {'label': 'Driveway Pressure Wash', 'price': 140}], 'total': 870}"
"Can you quote me for a two-storey house in Attadale including 2 Storey Exterior House Wash, Driveway Pressure Wash, Standard Gutter Clean","{'job_type': 'Exterior House Wash, Gutter Clean, Pressure Wash', 'location': 'Attadale', 'building_type': 'two-storey house'}","{'items': [{'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Driveway Pressure Wash', 'price': 140}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 560}"
"Can you quote me for a single-storey house in Bicton including 20 Panels Solar Panel Clean, Standard Gutter Clean, 2 Storey Exterior House Wash","{'job_type': 'Exterior House Wash, Solar Panel Clean, Gutter Clean', 'location': 'Bicton', 'building_type': 'single-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}, {'label': 'Standard Gutter Clean', 'price': 90}, {'label': '2 Storey Exterior House Wash', 'price': 330}], 'total': 570}"
"Can you quote me for a single-storey house in Bicton including Full House Pressure Wash, Single Storey Window Clean","{'job_type': 'Window Clean, Pressure Wash', 'location': 'Bicton', 'building_type': 'single-storey house'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 450}"
Can you quote me for a single-storey house in Mount Pleasant including Single Storey Window Clean,"{'job_type': 'Window Clean', 'location': 'Mount Pleasant', 'building_type': 'single-storey house'}","{'items': [{'label': 'Single Storey Window Clean', 'price': 120}], 'total': 120}"
Can you quote me for a single-storey house in Applecross including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Applecross', 'building_type': 'single-storey house'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
"Can you quote me for a two-storey house in Applecross including Double Storey Window Clean, 2 Storey Exterior House Wash, Standard Gutter Clean","{'job_type': 'Window Clean, Exterior House Wash, Gutter Clean', 'location': 'Applecross', 'building_type': 'two-storey house'}","{'items': [{'label': 'Double Storey Window Clean', 'price': 180}, {'label': '2 Storey Exterior House Wash', 'price': 330}, {'label': 'Standard Gutter Clean', 'price': 90}], 'total': 600}"
"Can you quote me for a townhouse in Mount Pleasant including Standard Gutter Clean, Tiled Roof Roof Clean","{'job_type': 'Roof Clean, Gutter Clean', 'location': 'Mount Pleasant', 'building_type': 'townhouse'}","{'items': [{'label': 'Standard Gutter Clean', 'price': 90}, {'label': 'Tiled Roof Roof Clean', 'price': 400}], 'total': 490}"
"Can you quote me for a apartment block in Melville including Full House Pressure Wash, Standard Gutter Clean, Single Storey Window Clean","{'job_type': 'Window Clean, Gutter Clean, Pressure Wash', 'location': 'Melville', 'building_type': 'apartment block'}","{'items': [{'label': 'Full House Pressure Wash', 'price': 330}, {'label': 'Standard Gutter Clean', 'price': 90}, {'label': 'Single Storey Window Clean', 'price': 120}], 'total': 540}"
Can you quote me for a townhouse in Bicton including 20 Panels Solar Panel Clean,"{'job_type': 'Solar Panel Clean', 'location': 'Bicton', 'building_type': 'townhouse'}","{'items': [{'label': '20 Panels Solar Panel Clean', 'price': 150}], 'total': 150}"
